Size,Instance ID,Computing_time,Obj,Cmax,Delay
l,11,0.2430391311645507,3247.0,725.0,2522.0
l,12,0.4664230346679687,5777.0,944.0,4833.0
l,13,0.2610909938812256,3717.0,783.0,2934.0
l,14,0.2476749420166015,3499.0,739.0,2760.0
l,15,0.2734639644622803,4703.0,848.0,3855.0
l,16,0.273543119430542,4372.0,798.0,3574.0
l,17,0.323199987411499,5638.0,964.0,4674.0
l,18,0.4787149429321289,7463.0,1110.0,6353.0
l,19,0.3041126728057861,5823.0,1007.0,4816.0
l,20,0.2915420532226562,4623.0,790.0,3833.0
l,21,0.3782610893249511,5880.0,947.0,4933.0
l,22,0.2928402423858642,4345.0,845.0,3500.0
l,23,0.3452868461608886,5360.0,844.0,4516.0
l,24,0.2231230735778808,3017.0,659.0,2358.0
l,25,0.3522441387176513,4677.0,866.0,3811.0
l,26,0.2581520080566406,3697.0,719.0,2978.0
l,27,0.2893171310424804,4866.0,917.0,3949.0
l,28,0.3672609329223633,3604.0,693.0,2911.0
l,29,0.3516738414764404,4830.0,839.0,3991.0
l,30,0.3567800521850586,5517.0,941.0,4576.0
l,31,0.3751022815704345,4087.0,755.0,3332.0
l,32,0.3959500789642334,5181.0,969.0,4212.0
l,33,0.5246169567108154,6556.0,1059.0,5497.0
l,34,0.2745752334594726,4598.0,896.0,3702.0
l,35,0.2971971035003662,4355.0,837.0,3518.0
l,36,0.3787672519683838,4392.0,858.0,3534.0
l,37,0.3085012435913086,5432.0,964.0,4468.0
l,38,0.3192989826202392,5240.0,935.0,4305.0
l,39,0.3102290630340576,4321.0,859.0,3462.0
l,40,0.3148727416992187,5432.0,862.0,4570.0
l,41,0.2735908031463623,3951.0,721.0,3230.0
l,42,0.2614710330963135,3215.0,662.0,2553.0
l,43,0.3526411056518554,5779.0,939.0,4840.0
l,44,0.2748332023620605,3511.0,744.0,2767.0
l,45,0.224092960357666,4412.0,904.0,3508.0
l,46,0.3089330196380615,5580.0,989.0,4591.0
l,47,0.2632100582122803,4432.0,872.0,3560.0
l,48,0.2859158515930176,4554.0,834.0,3720.0
l,49,0.24052095413208,3295.0,629.0,2666.0
l,50,0.261401891708374,4058.0,791.0,3267.0
xl,1,1.202243089675903,18756.0,1889.0,16867.0
xl,2,0.7519447803497314,11991.0,1370.0,10621.0
xl,3,1.0794010162353516,22975.0,1832.0,21143.0
xl,4,0.7664272785186768,14346.0,1527.0,12819.0
xl,5,0.7889750003814697,12472.0,1457.0,11015.0
xl,6,1.026557207107544,20635.0,1806.0,18829.0
xl,7,0.978090763092041,19207.0,1786.0,17421.0
xl,8,1.4422719478607178,29976.0,2244.0,27732.0
xl,9,0.6160187721252441,10735.0,1389.0,9346.0
xl,10,0.7148709297180176,13507.0,1498.0,12009.0
xl,11,0.8767280578613281,17471.0,1752.0,15719.0
xl,12,0.7818009853363037,14438.0,1480.0,12958.0
xl,13,0.8571889400482178,16166.0,1651.0,14515.0
xl,14,1.1939942836761477,20864.0,1889.0,18975.0
xl,15,1.090714693069458,19526.0,1744.0,17782.0
xl,16,1.0128512382507324,21270.0,1830.0,19440.0
xl,17,1.4060680866241455,23110.0,1964.0,21146.0
xl,18,1.0219922065734863,20272.0,1881.0,18391.0
xl,19,1.3197901248931885,25744.0,2012.0,23732.0
xl,20,1.6660311222076416,33151.0,2352.0,30799.0
xl,21,0.9725258350372314,20830.0,1958.0,18872.0
xl,22,1.0350360870361328,18839.0,1679.0,17160.0
xl,23,1.1454999446868896,19452.0,1806.0,17646.0
xl,24,1.0245769023895264,18581.0,1720.0,16861.0
xl,25,0.7262589931488037,15938.0,1698.0,14240.0
xl,26,0.778778076171875,14305.0,1529.0,12776.0
